#  New York 12-Month Period Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202301,57.9
202302,58.2
202303,58
202304,58.5
202305,58.2
202306,58.1
202307,58
202308,57.5
202309,57.7
202310,57.8
202311,57.3
202312,57.7
