#  New York 12-Month Period Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202301,37.6
202302,38.1
202303,38.1
202304,38.3
202305,37.8
202306,37.8
202307,38
202308,37.8
202309,37.9
202310,38.5
202311,38.1
202312,38.7
